用户ID,性别,百分位,行李质量_kg,场景类型,手部合力_N,拇指力_N,食指力_N,中指力_N,无名指力_N,小指力_N,拇指占比,食指占比,中指占比,无名指占比,小指占比
男_P5,男,P5,8.0,机场平面,10.715779004813417,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709,0.32,0.28,0.23999999999999996,0.11,0.05
男_P5,男,P5,8.0,机场平面,10.715779004813417,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709,0.32,0.28,0.23999999999999996,0.11,0.05
男_P5,男,P5,14.0,斜坡,58.443559414369055,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528,0.32000000000000006,0.28,0.24,0.11,0.05
男_P5,男,P5,14.0,斜坡,58.443559414369055,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528,0.32000000000000006,0.28,0.24,0.11,0.05
男_P5,男,P5,20.0,粗糙地面,189.66086826029772,60.691477843295274,53.105043112883365,45.51860838247145,20.86269550863275,9.483043413014887,0.32,0.28,0.24,0.11000000000000001,0.05
男_P10,男,P10,14.0,机场平面,18.75261325842348,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174,0.32,0.28,0.24,0.10999999999999999,0.05
男_P10,男,P10,14.0,机场平面,18.75261325842348,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174,0.32,0.28,0.24,0.10999999999999999,0.05
男_P10,男,P10,20.0,斜坡,83.49079916338438,26.717055732283,23.37742376574763,20.03779179921225,9.183987907972282,4.174539958169219,0.32,0.28,0.24,0.11,0.049999999999999996
男_P10,男,P10,8.0,斜坡,33.39631966535375,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875,0.32,0.28,0.23999999999999996,0.11,0.05
男_P10,男,P10,8.0,粗糙地面,75.86434730411908,24.276591137318107,21.242017245153345,18.207443352988577,8.345078203453099,3.793217365205954,0.32,0.28,0.23999999999999996,0.11,0.05
男_P50,男,P50,20.0,机场平面,26.78944751203354,8.572623203850734,7.501045303369392,6.429467402888049,2.9468392263236893,1.339472375601677,0.32000000000000006,0.28,0.23999999999999996,0.11,0.05
男_P50,男,P50,8.0,机场平面,10.715779004813417,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709,0.32,0.28,0.23999999999999996,0.11,0.05
男_P50,男,P50,8.0,斜坡,33.39631966535375,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875,0.32,0.28,0.23999999999999996,0.11,0.05
男_P50,男,P50,14.0,斜坡,58.443559414369055,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528,0.32000000000000006,0.28,0.24,0.11,0.05
男_P50,男,P50,14.0,粗糙地面,132.7626077822084,42.48403449030668,37.17353017901835,31.863025867730013,14.603886856042923,6.63813038911042,0.32,0.28,0.24,0.11,0.05
男_P90,男,P90,8.0,机场平面,10.715779004813417,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709,0.32,0.28,0.23999999999999996,0.11,0.05
男_P90,男,P90,14.0,机场平面,18.75261325842348,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174,0.32,0.28,0.24,0.10999999999999999,0.05
男_P90,男,P90,14.0,斜坡,58.443559414369055,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528,0.32000000000000006,0.28,0.24,0.11,0.05
男_P90,男,P90,20.0,斜坡,83.49079916338438,26.717055732283,23.37742376574763,20.03779179921225,9.183987907972282,4.174539958169219,0.32,0.28,0.24,0.11,0.049999999999999996
男_P90,男,P90,8.0,粗糙地面,75.86434730411908,24.276591137318107,21.242017245153345,18.207443352988577,8.345078203453099,3.793217365205954,0.32,0.28,0.23999999999999996,0.11,0.05
男_P95,男,P95,14.0,机场平面,18.75261325842348,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174,0.32,0.28,0.24,0.10999999999999999,0.05
男_P95,男,P95,20.0,机场平面,26.78944751203354,8.572623203850734,7.501045303369392,6.429467402888049,2.9468392263236893,1.339472375601677,0.32000000000000006,0.28,0.23999999999999996,0.11,0.05
男_P95,男,P95,8.0,斜坡,33.39631966535375,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875,0.32,0.28,0.23999999999999996,0.11,0.05
男_P95,男,P95,8.0,斜坡,33.39631966535375,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875,0.32,0.28,0.23999999999999996,0.11,0.05
男_P95,男,P95,14.0,粗糙地面,132.7626077822084,42.48403449030668,37.17353017901835,31.863025867730013,14.603886856042923,6.63813038911042,0.32,0.28,0.24,0.11,0.05
女_P5,女,P5,20.0,机场平面,26.78944751203354,8.572623203850734,7.501045303369392,6.429467402888049,2.9468392263236893,1.339472375601677,0.32000000000000006,0.28,0.23999999999999996,0.11,0.05
女_P5,女,P5,8.0,机场平面,10.715779004813417,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709,0.32,0.28,0.23999999999999996,0.11,0.05
女_P5,女,P5,8.0,斜坡,33.39631966535375,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875,0.32,0.28,0.23999999999999996,0.11,0.05
女_P5,女,P5,14.0,斜坡,58.443559414369055,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528,0.32000000000000006,0.28,0.24,0.11,0.05
女_P5,女,P5,14.0,粗糙地面,132.7626077822084,42.48403449030668,37.17353017901835,31.863025867730013,14.603886856042923,6.63813038911042,0.32,0.28,0.24,0.11,0.05
女_P10,女,P10,14.0,机场平面,18.75261325842348,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174,0.32,0.28,0.24,0.10999999999999999,0.05
女_P10,女,P10,14.0,机场平面,18.75261325842348,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174,0.32,0.28,0.24,0.10999999999999999,0.05
女_P10,女,P10,20.0,斜坡,83.49079916338438,26.717055732283,23.37742376574763,20.03779179921225,9.183987907972282,4.174539958169219,0.32,0.28,0.24,0.11,0.049999999999999996
女_P10,女,P10,8.0,斜坡,33.39631966535375,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875,0.32,0.28,0.23999999999999996,0.11,0.05
女_P10,女,P10,8.0,粗糙地面,75.86434730411908,24.276591137318107,21.242017245153345,18.207443352988577,8.345078203453099,3.793217365205954,0.32,0.28,0.23999999999999996,0.11,0.05
女_P50,女,P50,14.0,机场平面,18.75261325842348,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174,0.32,0.28,0.24,0.10999999999999999,0.05
女_P50,女,P50,20.0,机场平面,26.78944751203354,8.572623203850734,7.501045303369392,6.429467402888049,2.9468392263236893,1.339472375601677,0.32000000000000006,0.28,0.23999999999999996,0.11,0.05
女_P50,女,P50,8.0,斜坡,33.39631966535375,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875,0.32,0.28,0.23999999999999996,0.11,0.05
女_P50,女,P50,8.0,斜坡,33.39631966535375,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875,0.32,0.28,0.23999999999999996,0.11,0.05
女_P50,女,P50,14.0,粗糙地面,132.7626077822084,42.48403449030668,37.17353017901835,31.863025867730013,14.603886856042923,6.63813038911042,0.32,0.28,0.24,0.11,0.05
女_P90,女,P90,8.0,机场平面,10.715779004813417,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709,0.32,0.28,0.23999999999999996,0.11,0.05
女_P90,女,P90,8.0,机场平面,10.715779004813417,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709,0.32,0.28,0.23999999999999996,0.11,0.05
女_P90,女,P90,14.0,斜坡,58.443559414369055,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528,0.32000000000000006,0.28,0.24,0.11,0.05
女_P90,女,P90,14.0,斜坡,58.443559414369055,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528,0.32000000000000006,0.28,0.24,0.11,0.05
女_P90,女,P90,20.0,粗糙地面,189.66086826029772,60.691477843295274,53.105043112883365,45.51860838247145,20.86269550863275,9.483043413014887,0.32,0.28,0.24,0.11000000000000001,0.05
女_P95,女,P95,8.0,机场平面,10.715779004813417,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709,0.32,0.28,0.23999999999999996,0.11,0.05
女_P95,女,P95,14.0,机场平面,18.75261325842348,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174,0.32,0.28,0.24,0.10999999999999999,0.05
女_P95,女,P95,14.0,斜坡,58.443559414369055,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528,0.32000000000000006,0.28,0.24,0.11,0.05
女_P95,女,P95,20.0,斜坡,83.49079916338438,26.717055732283,23.37742376574763,20.03779179921225,9.183987907972282,4.174539958169219,0.32,0.28,0.24,0.11,0.049999999999999996
女_P95,女,P95,8.0,粗糙地面,75.86434730411908,24.276591137318107,21.242017245153345,18.207443352988577,8.345078203453099,3.793217365205954,0.32,0.28,0.23999999999999996,0.11,0.05
